node_id,identifier,node_type,name,human_name
28023950,PF01663,ProteinDomain,Type I phosphodiesterase / nucleotide pyrophosphatase,Type I phosphodiesterase / nucleotide pyrophosphatase
30709411,1578,Organism,Lactobacillus,Lactobacillus
30708123,147802,Organism,Lactobacillus iners,Lactobacillus iners
26894880,P28482,Protein,MK01_HUMAN,MK01
26902119,P55055,Protein,NR1H2_HUMAN,NR1H2
26994266,Q13133,Protein,NR1H3_HUMAN,NR1H3
26876825,O43524,Protein,FOXO3_HUMAN,FOXO3
26892946,P19793,Protein,RXRA_HUMAN,RXRA
26892500,P17676,Protein,CEBPB_HUMAN,CEBPB
26884341,P01100,Protein,FOS_HUMAN,FOS
26897611,P42224,Protein,STAT1_HUMAN,STAT1
26885805,P06850,Protein,CRF_HUMAN,CRF
26894669,P27361,Protein,MK03_HUMAN,MK03
2279755,inchikey:DKPMWHFRUGMUKF-CRKPLTDNSA-N,Compound,beta-Muricholic acid,Beta-Muricholic Acid
411290,inchikey:DKPMWHFRUGMUKF-JDDNAIEOSA-N,Compound,Muricholic acid,Muricholic acid
26986618,Q12772,Protein,SRBP2_HUMAN,SRBP2
2491385,1581,Gene,CYP7A1,CYP7A1
385407,inchikey:FPIPGXGPPPQFEQ-UHFFFAOYSA-N,Compound,"3,7-Dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraen-1-ol","3,7-Dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraen-1-ol"
26883967,O95750,Protein,FGF19_HUMAN,FGF19
2496997,9965,Gene,FGF19,FGF19
2279753,inchikey:DKPMWHFRUGMUKF-NTPBNISXSA-N,Compound,omega-Muricholic acid,Omega-Muricholic Acid
2279754,inchikey:DKPMWHFRUGMUKF-GDYCBZMLSA-N,Compound,alpha-Muricholic acid,Alpha-Muricholic Acid
26885351,P04626,Protein,ERBB2_HUMAN,ERBB2
