node_id,node_type,name,subclass,source,hmdb_id,is_metrs,functional_role,highlight,source_set,degree,betweenness,is_compound_hub,is_protein_hub,eigenvector,pagerank,combined_score,is_topology_hub
DOID:9452,Disease,steatotic liver disease,,,,FALSE,,TRUE,fig2d,9,0.03868,FALSE,FALSE,0.29612,0.01408,0.38750,FALSE
DOID:0080208,Disease,metabolic dysfunction-associated steatotic liver disease (MASLD),,,,FALSE,,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.04001,0.00239,0.00000,FALSE
DOID:0080547,Disease,metabolic dysfunction-associated steatohepatitis (MASH),,,,FALSE,,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.04001,0.00239,0.00000,FALSE
DOID:1287,Disease,cardiovascular system disease,,,,FALSE,,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.03074,0.00250,0.00000,FALSE
DOID:1936,Disease,atherosclerosis,,,,FALSE,,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.03074,0.00250,0.00000,FALSE
DOID:13810,Disease,familial hypercholesterolemia,,,,FALSE,,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.03074,0.00250,0.00000,FALSE
DOID:1168,Disease,familial hyperlipidemia,,,,FALSE,,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.03074,0.00250,0.00000,FALSE
DOID:13580,Disease,cholestasis,,,,FALSE,,FALSE,fig2d,2,0.00057,FALSE,FALSE,0.07074,0.00400,0.04739,FALSE
DOID:14219,Disease,renal tubular acidosis,,,,FALSE,,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.00089,0.00279,0.00000,FALSE
DOID:654,Disease,overnutrition,,,,FALSE,,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.04001,0.00239,0.00000,FALSE
O14531,Protein,DPYL4_HUMAN,,SPOKE_steiner,,FALSE,Steiner human protein,FALSE,steiner,2,0.03992,FALSE,FALSE,0.01954,0.00461,0.10284,TRUE
O60244,Protein,MED14_HUMAN,,SPOKE_steiner,,FALSE,Steiner human protein,FALSE,steiner,1,0.00000,FALSE,FALSE,0.01031,0.00257,0.00000,FALSE
O95402,Protein,MED26_HUMAN,,SPOKE_steiner,,FALSE,Steiner human protein,TRUE,steiner,2,0.04875,FALSE,FALSE,0.01120,0.00447,0.09333,TRUE
P00734,Protein,THRB_HUMAN,,SPOKE_steiner,,FALSE,Steiner human protein,TRUE,steiner,5,0.12885,FALSE,TRUE,0.01647,0.01033,0.20313,TRUE
P01137,Protein,TGFB1_HUMAN,,SPOKE_steiner,,FALSE,Steiner human protein,TRUE,steiner,1,0.00000,FALSE,FALSE,0.01031,0.00257,0.00000,FALSE
P08514,Protein,ITA2B_HUMAN,,SPOKE_steiner,,FALSE,Steiner human protein,FALSE,steiner,2,0.02774,FALSE,FALSE,0.00773,0.00445,0.07377,FALSE
P10646,Protein,TFPI1_HUMAN,,SPOKE_steiner,,FALSE,Steiner human protein,FALSE,steiner,1,0.00000,FALSE,FALSE,0.01331,0.00256,0.00000,FALSE
P12074,Protein,CX6A1_HUMAN,,SPOKE_steiner,,FALSE,Steiner human protein,FALSE,steiner,2,0.00860,FALSE,FALSE,0.00247,0.00497,0.04258,FALSE
P14854,Protein,CX6B1_HUMAN,,SPOKE_steiner,,FALSE,Steiner human protein,FALSE,steiner,3,0.03496,FALSE,TRUE,0.00438,0.00661,0.08291,FALSE
P16070,Protein,CD44_HUMAN,,SPOKE_steiner,,FALSE,Steiner human protein,TRUE,steiner,1,0.00000,FALSE,FALSE,0.00073,0.00279,0.00000,FALSE
P17174,Protein,AATC_HUMAN,,SPOKE_steiner,,FALSE,Steiner human protein,FALSE,steiner,2,0.05710,FALSE,TRUE,0.00319,0.00407,0.06932,FALSE
P22309,Protein,UD11_HUMAN,,SPOKE_steiner,,FALSE,Steiner human protein,FALSE,steiner,3,0.01905,FALSE,TRUE,0.00162,0.00665,0.05562,FALSE
P24311,Protein,COX7B_HUMAN,,SPOKE_steiner,,FALSE,Steiner human protein,FALSE,steiner,1,0.00000,FALSE,FALSE,0.00019,0.00299,0.00000,FALSE
P27487,Protein,DPP4_HUMAN,,SPOKE_steiner,,FALSE,Steiner human protein,TRUE,steiner,2,0.01190,FALSE,FALSE,0.00075,0.00555,0.03520,FALSE
P35030,Protein,TRY3_HUMAN,,SPOKE_steiner,,FALSE,Steiner human protein,FALSE,steiner,1,0.00000,FALSE,FALSE,0.01331,0.00256,0.00000,FALSE
P35558,Protein,PCKGC_HUMAN,,SPOKE_steiner,,FALSE,Steiner human protein,FALSE,steiner,2,0.03824,FALSE,FALSE,0.01201,0.00424,0.08822,FALSE
P36542,Protein,ATPG_HUMAN,,SPOKE_steiner,,FALSE,Steiner human protein,TRUE,steiner,2,0.01686,FALSE,FALSE,0.01372,0.00467,0.07613,FALSE
P40926,Protein,MDHM_HUMAN,,SPOKE_steiner,,FALSE,Steiner human protein,FALSE,steiner,2,0.01877,FALSE,FALSE,0.02007,0.00421,0.08380,FALSE
P41159,Protein,LEP_HUMAN,,SPOKE_steiner,,FALSE,Steiner human protein,TRUE,steiner,2,0.01008,FALSE,FALSE,0.04525,0.00395,0.08652,FALSE
P49715,Protein,CEBPA_HUMAN,,SPOKE_steiner,,FALSE,Steiner human protein,FALSE,steiner,3,0.03727,FALSE,TRUE,0.02362,0.00614,0.12600,TRUE
Q14623,Protein,IHH_HUMAN,,SPOKE_steiner,,FALSE,Steiner human protein,FALSE,steiner,2,0.04893,FALSE,FALSE,0.00075,0.00490,0.04858,FALSE
